"id_article","titre","nom_latin","ville_participante","Biodiful","Wild","longueur","largeur","poids","couleur","posture","nb_membres","accessoires","diametre_yeux","hauteur_tete","grande_rondeur","longueur_museau","profondeur_tete","matiere","longueur_poil","douceur_poil","longueur_oreilles","volume_corps","volume_tete","volume","sourire","personnage_celebre","regard","regard_visage","toucher","manipuler","sentir","douceur","age","sexe","freres_soeurs","atoi","score","fichier","cpr","cop","cop1","cop2","HeadHei","HeadLat","HeadFron","SnoutLen","SnoutHei","SnoutWid","EarLen","TruffleWid","TruffleHei","EyeDia","HeadBodyLen","ChestLen","ChestHigh","FrontLeg","HindLeg","LS_mean_light","LS_sd_light","CL_cie_d_wmean_mean","CL_polar_mean","COL_yellow","COL_red","COL_green","COL_blue","COL_dark","COL_light","GD_sizegood_1","GD_sizegood_2","GD_sizebad","SH_n.core.cell_mean","SH_perim.area.ratio_sd","MO_Fourier_pc1","MO_Fourier_pc2","MO_conv","MO_rect","HOG_mean","HOG_sd","HOG_skew","FR_full_sq_fd","FR_full_sq_sc","RGB_pca_A1","RGB_pca_A2","RGB_pca_A3"
"832","vieil ours","Nunursus vieilursus","le_mans","YES","NO",45,20,200,"8","2",4,"3",1,7,17,3,7,"1",1,3,4,873.919792517597,343,472.306597505866,"-1","NA",3,5,4,2,2,7,70,"2",0,"1","a:1:{i:832;a:8:{i:21;s:2:""ok"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ok"";i:26;s:2:""ko"";i:27;s:2:""ok"";i:28;s:2:""ko"";}}","https://nounours.umontpellier.fr/IMG/jpg/img_0896-r270.jpg",0.625,NA,NA,NA,10.42,12.54,5.19,2.26,4.52,5.02,2.51,0.92,0.7,1.27,30.23,10.75,12.21,13.78,18.85,0.706858249179126,0.184276122231761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.279991527226945,-0.00932083091938238,0.663205964123479,0.591730645561983,1.3890138151882e-05,1.87934405778543e-05,4.52302440512663,2.49187095175326,0.0381303502436807,0.501712354823619,1.87030949355326,0.302776200868515
"834","Angelo","Nunursus angelus","besancon","YES","NO",34,22,56,"12","1",4,"2,8,9",2,13,40,13,18,"2",3,5,8,2673.80304394384,3042,1923.93434798128,"1","NA",5,5,5,4,1,10,9,"1",1,"0","a:2:{i:834;a:8:{i:21;s:2:""ok"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}i:813;a:8:{i:21;s:2:""ok"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ok"";i:25;s:2:""ko"";i:26;s:2:""ok"";i:27;s:2:""ko"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/54besancon73-r90.jpg",NA,0.375,NA,0.375,13.75,15.59,14.67,4.61,6.61,7.53,2.38,3.91,2.5,1.64,29.86,12.25,14.12,8.69,10.33,0.297479505766531,0.328097562035086,32.4738855036815,-1.01642858559222,0,5.49193879197882,19.2704163555459,0.254924416735685,0,0,NA,NA,NA,4639.91666666667,0.81074632001583,0.0138204230837754,0.0323984939826313,0.646124788607466,0.667878968067502,7.20162373355718e-06,2.58905345249874e-05,6.28461886388325,2.03566481199411,0.0214136006666498,-2.98512134936395,-4.00909997672408,2.80605072238045
"835","clem","Nunursus clemus","le_mans","YES","NO",65,50,424,"8","2",4,"9",1.5,14,56,6,18,"1",4,7,3,12727.3024891727,3528,5559.7674963909,"-1","NA",5,5,5,5,5,12,12,"1",1,"1","a:1:{i:835;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ko"";}}i:835;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ko"";}}","https://nounours.umontpellier.fr/IMG/jpg/img_0859.jpg",1,1,1,NA,19.49,19.78,17.06,7.21,12.73,9.44,5.87,7.59,4.6,1.55,43.42,20.21,18.01,19.82,22.72,0.858052783072654,0.151617330204316,5.19319869168805,1.55557315685956,5.49507303496759,0,0.0626888191215459,0,0,0,NA,NA,NA,767.916666666667,0.665130052964457,-0.29833250435587,0.0347037564121244,0.56986966324843,0.644144699028706,1.05618593422212e-05,1.22371591738173e-05,3.99708486307364,2.4926197003392,0.00979773238049545,3.28362583974518,-1.38639751503545,-0.834627772110064
"836","Fluffy","Nunursus fluflu","besancon","YES","NO",19,16,20,"9","2",4,"3.8",1.2,7,29,3,10,"2",2,3,2,803.095842841704,490,437.698614280568,"0","NA",1,2,2,2,2,5,35,"2",3,"1","a:2:{i:836;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ok"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ok"";}i:818;a:8:{i:21;s:2:""ok"";i:22;s:2:""ok"";i:23;s:2:""ko"";i:24;s:2:""ok"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/55besancon85-r90.jpg",0.75,NA,NA,NA,7.41,8.26,6.32,1.63,3.49,3.71,1.57,0.56,0.72,0.87,14.34,6.78,7.03,4.23,5.33,0.585975507483363,0.242622819280143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117040163241077,-0.0055018021799038,0.60156850138298,0.610353900325931,7.88653053054426e-06,2.01399172260468e-05,6.10336977151642,2.13479790574099,0.0151511325471579,-3.29194234400302,-1.84202330174769,-3.42943153338637
"837","Sushi","Nunursus ursus japonicus","besancon","YES","Ailuropoda melanoleuca",23,13,150,"7","1",4,"0",1,10,37,4.5,13,"2",3,7,2.5,1416.24026110323,1300,955.413420367744,"0","NA",5,5,5,5,5,12,40,"1",1,"1","a:2:{i:837;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ok"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ok"";}i:739;a:8:{i:21;s:2:""ko"";i:22;s:2:""ok"";i:23;s:2:""ok"";i:24;s:2:""ok"";i:25;s:2:""ko"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/66besancon11-r90.jpg",0.75,0.5,0.5,NA,10.31,9.33,8.74,3.3,4.58,4.8,1.82,1.55,1.22,0.92,18.32,9.45,8.95,4.2,4.3,0.519169248148653,0.364853828853221,4.69613922740658,-0.155193107176768,0.453449528618686,0.0398115229754891,0.153095073092321,1.7852573573381,0,0,NA,NA,NA,2391.66666666667,0.394084072250061,0.0566381406395023,-0.0821252210838412,0.763386409110383,0.698858801155716,8.48824116737484e-06,2.80749061512398e-05,6.07799723321377,2.02571158907778,0.0211105780157067,0.120378466871997,-3.25643336943682,1.9986779535833
"840","Nina","Nunursus ninus","besancon","NO","NO",30,18,500,"7","1",4,"4",1,12,36,3,15,"2",3,4,6,1856.38325622387,2160,1505.46108540796,"0","NA",5,5,5,2,1,9,7,"1",1,"0","a:2:{i:840;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ok"";i:24;s:2:""ok"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}i:826;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/56besancon98-r90.jpg",NA,0.25,NA,0.25,9.28,10.4,8.87,3.35,4.12,4.85,2.13,1.82,1.27,0.53,20.28,8.35,7.83,5.75,8.18,0.868756204146366,0.170620640050365,8.20564480173405,0.788241143923038,4.72820526838596,0.0251081946318284,0,0.477302954673282,0,0,NA,NA,NA,2335.91666666667,0.415890200221144,0.0343610009451058,-0.0629484430417124,0.609026350578239,0.513171350101529,4.47908712038373e-06,1.35270772629561e-05,10.7404563236104,2.08197197992527,0.0042928208883614,3.71626961906233,-2.97814851304673,-1.88975459944724
"841","Nounours","Nunursus altus","besancon","YES","NO",80,60,1300,"8","2",4,"0",2.3,25,63,6,20,"2",3,4,7,17371.3641511226,12500,10390.4547170409,"1","NA",5,5,3,3,3,7,12,"2",0,"0","a:2:{i:841;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ok"";i:24;s:2:""ok"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ok"";}i:837;a:8:{i:21;s:2:""ok"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/68besancon36-r90.jpg",NA,0.75,0.875,0.625,22.57,24.86,18.87,6.1,8.77,9.63,6.5,2.27,1.8,2.85,47.77,16.49,20.65,18.35,25.46,0.494278523031385,0.123191619722742,7.37000389697429,1.39359654953976,14.0397526465647,0,0.0621993657600428,0,0,0,NA,NA,NA,1269.5,0.210924460994721,-0.222686122276237,-0.062083455251169,0.568268916589435,0.598711984775937,7.15181936550093e-06,1.81461399133795e-05,6.76124045937608,2.17872442999481,0.0169187646776596,-5.83030250108991,1.48259288162662,-4.3485996937682
"842","Marius","Nunursus marius","besancon","YES","NO",26,22,300,"15","1",4,"4.9000000000000004",0.5,12,32,3.5,9,"2",2,7,2,1140.82263208271,1296,912.274210694235,"0","NA",4,4,5,5,4,12,63,"1",1,"0","a:2:{i:842;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ok"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ko"";i:28;s:2:""ko"";}i:811;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ok"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ko"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/57besancon91-r90.jpg",NA,0.5,0.375,0.625,9.24,10.17,6.47,1.38,3.13,5.26,0.39,2.19,1.51,0.62,18.24,6.64,7.55,5.95,6.49,0.624201160969333,0.18340621570177,16.3813924844249,-0.615994242692267,0,5.47400518120398,0.0559231850621779,5.23517507857142,0,0,NA,NA,NA,2837.41666666667,0.295882078047302,0.100914920805249,-0.0403944051146486,0.548533059017168,0.571966358771744,9.57756289947082e-06,2.20577902018765e-05,4.51512017743576,2.1707761094812,0.0410595692027979,-2.28165061544312,2.33775084401791,-0.829884008979898
"843","ours watson","Nunursus ursus watson","le_mans","YES","NO",32,25,120,"9","2",4,"7",1,10,30,3,10,"2",3,5,2.5,1575.63393660976,1000,898.544645536588,"0","NA",3,3,5,5,4,10,44,"1",3,"0","a:1:{i:843;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ko"";}}","https://nounours.umontpellier.fr/IMG/jpg/img_0904-r270.jpg",NA,1,NA,1,10.42,10.29,9.32,3.86,5.4,6.48,3.47,0.87,1,0.91,22.18,9.57,10.81,7.86,10.95,0.915152420205882,0.145426550919553,13.1825725440421,1.12243696902915,22.126481696348,0.442310249607073,0,0,0,0,NA,NA,NA,282.75,0.431716832452552,0.0816269151346907,-0.142088967937703,0.720305388663295,0.626252301718165,1.62152769301317e-05,1.52473941158481e-05,2.88057484429616,2.70712979461423,0.0386858917704098,1.19536652192583,1.39657049235805,0.652482786219708
"845","doudou","Nunursus doudous","le_mans","NO","NO",40,16,98,"15","2",4,"0",0.5,9,26,6.5,13,"2",3,3,5,1667.62549371688,1053,939.54183123896,"0","NA",5,3,3,4,5,6,6,"1",0,"1","a:1:{i:845;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ko"";}}","https://nounours.umontpellier.fr/IMG/jpg/img_0868-r270.jpg",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.645307049410302,0.189162340986716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.472922776331655,0.0829248196002324,0.450483357929672,0.653337576173273,1.62060832886321e-05,1.87911806227946e-05,3.60109016783183,2.61933610027403,0.0499987374056211,0.0120592211048322,2.49930415149239,0.687318725902026
